             Tau     Tau_gorrito               y
   5.0000000E-03   1.1136626E+00             NaN
   1.0000000E-02   1.1186626E+00             NaN
   1.5000000E-02   1.1236626E+00             NaN
   2.0000000E-02   1.1286626E+00             NaN
   2.5000000E-02   1.1336626E+00             NaN
   3.0000000E-02   1.1386626E+00             NaN
   3.5000000E-02   1.1436626E+00             NaN
   4.0000000E-02   1.1486626E+00             NaN
   4.5000000E-02   1.1536626E+00             NaN
   5.0000000E-02   1.1586626E+00             NaN
   5.5000000E-02   1.1636626E+00             NaN
   6.0000000E-02   1.1686626E+00             NaN
   6.5000000E-02   1.1736626E+00             NaN
   7.0000000E-02   1.1786626E+00             NaN
   7.5000000E-02   1.1836626E+00             NaN
   8.0000000E-02   1.1886626E+00             NaN
   8.5000000E-02   1.1936626E+00             NaN
   9.0000000E-02   1.1986626E+00             NaN
   9.5000000E-02   1.2036626E+00             NaN
   1.0000000E-01   1.2086626E+00             NaN
   1.0500000E-01   1.2136626E+00             NaN
   1.1000000E-01   1.2186626E+00             NaN
   1.1500000E-01   1.2236626E+00             NaN
   1.2000000E-01   1.2286626E+00             NaN
   1.2500000E-01   1.2336626E+00             NaN
   1.3000000E-01   1.2386626E+00             NaN
   1.3500000E-01   1.2436626E+00             NaN
   1.4000000E-01   1.2486626E+00             NaN
   1.4500000E-01   1.2536626E+00             NaN
   1.5000000E-01   1.2586626E+00             NaN
   1.5500000E-01   1.2636626E+00             NaN
   1.6000000E-01   1.2686626E+00             NaN
   1.6500000E-01   1.2736626E+00             NaN
   1.7000000E-01   1.2786626E+00             NaN
   1.7500000E-01   1.2836626E+00             NaN
   1.8000000E-01   1.2886626E+00             NaN
   1.8500000E-01   1.2936626E+00             NaN
   1.9000000E-01   1.2986626E+00             NaN
   1.9500000E-01   1.3036626E+00             NaN
   2.0000000E-01   1.3086626E+00             NaN
   2.0500000E-01   1.3136626E+00             NaN
   2.1000000E-01   1.3186626E+00             NaN
   2.1500000E-01   1.3236626E+00             NaN
   2.2000000E-01   1.3286626E+00             NaN
   2.2500000E-01   1.3336626E+00             NaN
   2.3000000E-01   1.3386626E+00             NaN
   2.3500000E-01   1.3436626E+00             NaN
   2.4000000E-01   1.3486626E+00             NaN
   2.4500000E-01   1.3536626E+00             NaN
   2.5000000E-01   1.3586626E+00             NaN
   2.5500000E-01   1.3636626E+00             NaN
   2.6000000E-01   1.3686626E+00             NaN
   2.6500000E-01   1.3736626E+00             NaN
   2.7000000E-01   1.3786626E+00             NaN
   2.7500000E-01   1.3836626E+00             NaN
   2.8000000E-01   1.3886626E+00             NaN
   2.8500000E-01   1.3936626E+00             NaN
   2.9000000E-01   1.3986626E+00             NaN
   2.9500000E-01   1.4036626E+00             NaN
   3.0000000E-01   1.4086626E+00             NaN
   3.0500000E-01   1.4136626E+00             NaN
   3.1000000E-01   1.4186626E+00             NaN
   3.1500000E-01   1.4236626E+00             NaN
   3.2000000E-01   1.4286626E+00             NaN
   3.2500000E-01   1.4336626E+00             NaN
   3.3000000E-01   1.4386626E+00             NaN
   3.3500000E-01   1.4436626E+00             NaN
   3.4000000E-01   1.4486626E+00             NaN
   3.4500000E-01   1.4536626E+00             NaN
   3.5000000E-01   1.4586626E+00             NaN
   3.5500000E-01   1.4636626E+00             NaN
   3.6000000E-01   1.4686626E+00             NaN
   3.6500000E-01   1.4736626E+00             NaN
   3.7000000E-01   1.4786626E+00             NaN
   3.7500000E-01   1.4836626E+00             NaN
   3.8000000E-01   1.4886626E+00             NaN
   3.8500000E-01   1.4936626E+00             NaN
   3.9000000E-01   1.4986626E+00             NaN
   3.9500000E-01   1.5036626E+00             NaN
   4.0000000E-01   1.5086626E+00             NaN
   4.0500000E-01   1.5136626E+00             NaN
   4.1000000E-01   1.5186626E+00             NaN
   4.1500000E-01   1.5236626E+00             NaN
   4.2000000E-01   1.5286626E+00             NaN
   4.2500000E-01   1.5336626E+00             NaN
   4.3000000E-01   1.5386626E+00             NaN
   4.3500000E-01   1.5436626E+00             NaN
   4.4000000E-01   1.5486626E+00             NaN
   4.4500000E-01   1.5536626E+00             NaN
   4.5000000E-01   1.5586626E+00             NaN
   4.5500000E-01   1.5636626E+00             NaN
   4.6000000E-01   1.5686626E+00             NaN
   4.6500000E-01   1.5736626E+00             NaN
   4.7000000E-01   1.5786626E+00             NaN
   4.7500000E-01   1.5836626E+00             NaN
   4.8000000E-01   1.5886626E+00             NaN
   4.8500000E-01   1.5936626E+00             NaN
   4.9000000E-01   1.5986626E+00             NaN
   4.9500000E-01   1.6036626E+00             NaN
   5.0000000E-01   1.6086626E+00             NaN
   5.0500000E-01   1.6136626E+00             NaN
   5.1000000E-01   1.6186626E+00             NaN
   5.1500000E-01   1.6236626E+00             NaN
   5.2000000E-01   1.6286626E+00             NaN
   5.2500000E-01   1.6336626E+00             NaN
   5.3000000E-01   1.6386626E+00             NaN
   5.3500000E-01   1.6436626E+00             NaN
   5.4000000E-01   1.6486626E+00             NaN
   5.4500000E-01   1.6536626E+00             NaN
   5.5000000E-01   1.6586626E+00             NaN
   5.5500000E-01   1.6636626E+00             NaN
   5.6000000E-01   1.6686626E+00             NaN
   5.6500000E-01   1.6736626E+00             NaN
   5.7000000E-01   1.6786626E+00             NaN
   5.7500000E-01   1.6836626E+00             NaN
   5.8000000E-01   1.6886626E+00             NaN
   5.8500000E-01   1.6936626E+00             NaN
   5.9000000E-01   1.6986626E+00             NaN
   5.9500000E-01   1.7036626E+00             NaN
   6.0000000E-01   1.7086626E+00             NaN
   6.0500000E-01   1.7136626E+00             NaN
   6.1000000E-01   1.7186626E+00             NaN
   6.1500000E-01   1.7236626E+00             NaN
   6.2000000E-01   1.7286626E+00             NaN
   6.2500000E-01   1.7336626E+00             NaN
   6.3000000E-01   1.7386626E+00             NaN
   6.3500000E-01   1.7436626E+00             NaN
   6.4000000E-01   1.7486626E+00             NaN
   6.4500000E-01   1.7536626E+00             NaN
   6.5000000E-01   1.7586626E+00             NaN
   6.5500000E-01   1.7636626E+00             NaN
   6.6000000E-01   1.7686626E+00             NaN
   6.6500000E-01   1.7736626E+00             NaN
   6.7000000E-01   1.7786626E+00             NaN
   6.7500000E-01   1.7836626E+00             NaN
   6.8000000E-01   1.7886626E+00             NaN
   6.8500000E-01   1.7936626E+00             NaN
   6.9000000E-01   1.7986626E+00             NaN
   6.9500000E-01   1.8036626E+00             NaN
   7.0000000E-01   1.8086626E+00             NaN
   7.0500000E-01   1.8136626E+00             NaN
   7.1000000E-01   1.8186626E+00             NaN
   7.1500000E-01   1.8236626E+00             NaN
   7.2000000E-01   1.8286626E+00             NaN
   7.2500000E-01   1.8336626E+00             NaN
   7.3000000E-01   1.8386626E+00             NaN
   7.3500000E-01   1.8436626E+00             NaN
   7.4000000E-01   1.8486626E+00             NaN
   7.4500000E-01   1.8536626E+00             NaN
   7.5000000E-01   1.8586626E+00             NaN
   7.5500000E-01   1.8636626E+00             NaN
   7.6000000E-01   1.8686626E+00             NaN
   7.6500000E-01   1.8736626E+00             NaN
   7.7000000E-01   1.8786626E+00             NaN
   7.7500000E-01   1.8836626E+00             NaN
   7.8000000E-01   1.8886626E+00             NaN
   7.8500000E-01   1.8936626E+00             NaN
   7.9000000E-01   1.8986626E+00             NaN
   7.9500000E-01   1.9036626E+00             NaN
   8.0000000E-01   1.9086626E+00             NaN
   8.0500000E-01   1.9136626E+00             NaN
   8.1000000E-01   1.9186626E+00             NaN
   8.1500000E-01   1.9236626E+00             NaN
   8.2000000E-01   1.9286626E+00             NaN
   8.2500000E-01   1.9336626E+00             NaN
   8.3000000E-01   1.9386626E+00             NaN
   8.3500000E-01   1.9436626E+00             NaN
   8.4000000E-01   1.9486626E+00             NaN
   8.4500000E-01   1.9536626E+00             NaN
   8.5000000E-01   1.9586626E+00             NaN
   8.5500000E-01   1.9636626E+00             NaN
   8.6000000E-01   1.9686626E+00             NaN
   8.6500000E-01   1.9736626E+00             NaN
   8.7000000E-01   1.9786626E+00             NaN
   8.7500000E-01   1.9836626E+00             NaN
   8.8000000E-01   1.9886626E+00             NaN
   8.8500000E-01   1.9936626E+00             NaN
   8.9000000E-01   1.9986626E+00             NaN
   8.9500000E-01   2.0036626E+00             NaN
   9.0000000E-01   2.0086626E+00             NaN
   9.0500000E-01   2.0136626E+00             NaN
   9.1000000E-01   2.0186626E+00             NaN
   9.1500000E-01   2.0236626E+00             NaN
   9.2000000E-01   2.0286626E+00             NaN
   9.2500000E-01   2.0336626E+00             NaN
   9.3000000E-01   2.0386626E+00             NaN
   9.3500000E-01   2.0436626E+00             NaN
   9.4000000E-01   2.0486626E+00             NaN
   9.4500000E-01   2.0536626E+00             NaN
   9.5000000E-01   2.0586626E+00             NaN
   9.5500000E-01   2.0636626E+00             NaN
   9.6000000E-01   2.0686626E+00             NaN
   9.6500000E-01   2.0736626E+00             NaN
   9.7000000E-01   2.0786626E+00             NaN
   9.7500000E-01   2.0836626E+00             NaN
   9.8000000E-01   2.0886626E+00             NaN
   9.8500000E-01   2.0936626E+00             NaN
   9.9000000E-01   2.0986626E+00             NaN
   9.9500000E-01   2.1036626E+00             NaN
   1.0000000E+00   2.1086626E+00             NaN
   1.0050000E+00   2.1136626E+00             NaN
   1.0100000E+00   2.1186626E+00             NaN
   1.0150000E+00   2.1236626E+00             NaN
   1.0200000E+00   2.1286626E+00             NaN
   1.0250000E+00   2.1336626E+00             NaN
   1.0300000E+00   2.1386626E+00             NaN
   1.0350000E+00   2.1436626E+00             NaN
   1.0400000E+00   2.1486626E+00             NaN
   1.0450000E+00   2.1536626E+00             NaN
   1.0500000E+00   2.1586626E+00             NaN
   1.0550000E+00   2.1636626E+00             NaN
   1.0600000E+00   2.1686626E+00             NaN
   1.0650000E+00   2.1736626E+00             NaN
   1.0700000E+00   2.1786626E+00             NaN
   1.0750000E+00   2.1836626E+00             NaN
   1.0800000E+00   2.1886626E+00             NaN
   1.0850000E+00   2.1936626E+00             NaN
   1.0900000E+00   2.1986626E+00             NaN
   1.0950000E+00   2.2036626E+00             NaN
   1.1000000E+00   2.2086626E+00             NaN
   1.1050000E+00   2.2136626E+00             NaN
   1.1100000E+00   2.2186626E+00             NaN
   1.1150000E+00   2.2236626E+00             NaN
   1.1200000E+00   2.2286626E+00             NaN
   1.1250000E+00   2.2336626E+00             NaN
   1.1300000E+00   2.2386626E+00             NaN
   1.1350000E+00   2.2436626E+00             NaN
   1.1400000E+00   2.2486626E+00             NaN
   1.1450000E+00   2.2536626E+00             NaN
   1.1500000E+00   2.2586626E+00             NaN
   1.1550000E+00   2.2636626E+00             NaN
   1.1600000E+00   2.2686626E+00             NaN
   1.1650000E+00   2.2736626E+00             NaN
   1.1700000E+00   2.2786626E+00             NaN
   1.1750000E+00   2.2836626E+00             NaN
   1.1800000E+00   2.2886626E+00             NaN
   1.1850000E+00   2.2936626E+00             NaN
   1.1900000E+00   2.2986626E+00             NaN
   1.1950000E+00   2.3036626E+00             NaN
   1.2000000E+00   2.3086626E+00             NaN
   1.2050000E+00   2.3136626E+00             NaN
   1.2100000E+00   2.3186626E+00             NaN
   1.2150000E+00   2.3236626E+00             NaN
   1.2200000E+00   2.3286626E+00             NaN
   1.2250000E+00   2.3336626E+00             NaN
   1.2300000E+00   2.3386626E+00             NaN
   1.2350000E+00   2.3436626E+00             NaN
   1.2400000E+00   2.3486626E+00             NaN
   1.2450000E+00   2.3536626E+00             NaN
   1.2500000E+00   2.3586626E+00             NaN
   1.2550000E+00   2.3636626E+00             NaN
   1.2600000E+00   2.3686626E+00             NaN
   1.2650000E+00   2.3736626E+00             NaN
   1.2700000E+00   2.3786626E+00             NaN
   1.2750000E+00   2.3836626E+00             NaN
   1.2800000E+00   2.3886626E+00             NaN
   1.2850000E+00   2.3936626E+00             NaN
   1.2900000E+00   2.3986626E+00             NaN
   1.2950000E+00   2.4036626E+00             NaN
   1.3000000E+00   2.4086626E+00             NaN
   1.3050000E+00   2.4136626E+00             NaN
   1.3100000E+00   2.4186626E+00             NaN
   1.3150000E+00   2.4236626E+00             NaN
   1.3200000E+00   2.4286626E+00             NaN
   1.3250000E+00   2.4336626E+00             NaN
   1.3300000E+00   2.4386626E+00             NaN
   1.3350000E+00   2.4436626E+00             NaN
   1.3400000E+00   2.4486626E+00             NaN
   1.3450000E+00   2.4536626E+00             NaN
   1.3500000E+00   2.4586626E+00             NaN
   1.3550000E+00   2.4636626E+00             NaN
   1.3600000E+00   2.4686626E+00             NaN
   1.3650000E+00   2.4736626E+00             NaN
   1.3700000E+00   2.4786626E+00             NaN
